iter	Passed	Remaining
0	143	143207
1	143	71822
2	144	48023
3	145	36149
4	145	29008
5	146	24249
6	146	20848
7	147	18294
8	148	16313
9	148	14735
10	149	13433
11	149	12349
12	150	11431
13	151	10643
14	151	9963
15	152	9365
16	152	8838
17	153	8368
18	153	7948
19	154	7571
20	155	7231
21	155	6925
22	156	6645
23	157	6386
24	157	6149
25	158	5928
26	158	5724
27	159	5534
28	160	5358
29	160	5193
30	161	5039
31	161	4893
32	162	4757
33	162	4630
34	163	4508
35	164	4394
36	164	4287
37	165	4185
38	165	4089
39	166	3997
40	167	3909
41	167	3825
42	168	3745
43	168	3669
44	169	3599
45	170	3529
46	170	3462
47	171	3397
48	171	3337
49	172	3278
50	173	3223
51	173	3168
52	174	3115
53	174	3065
54	175	3016
55	176	2968
56	176	2926
57	177	2882
58	178	2839
59	178	2797
60	179	2757
61	179	2719
62	180	2683
63	181	2647
64	181	2612
65	182	2578
66	182	2545
67	183	2513
68	184	2485
69	184	2454
70	185	2425
71	185	2396
72	186	2368
73	187	2340
74	187	2314
75	188	2288
76	188	2262
77	189	2238
78	189	2213
79	190	2190
80	191	2170
81	191	2148
82	192	2124
83	192	2103
84	193	2082
85	194	2062
86	194	2042
87	195	2024
88	195	2005
89	196	1986
90	197	1968
91	197	1950
92	198	1933
93	198	1916
94	199	1899
95	199	1882
96	200	1866
97	201	1850
98	201	1834
99	202	1819
100	202	1804
101	203	1789
102	203	1775
103	204	1761
104	205	1747
105	205	1733
106	206	1721
107	206	1708
108	207	1695
109	207	1682
110	208	1670
111	209	1657
112	209	1646
113	210	1635
114	210	1623
115	211	1612
116	211	1599
117	212	1588
118	213	1577
119	213	1567
120	214	1556
121	214	1545
122	215	1534
123	215	1524
124	216	1514
125	216	1504
126	217	1494
127	218	1485
128	218	1475
129	219	1466
130	219	1457
131	220	1448
132	220	1439
133	221	1431
134	222	1423
135	222	1414
136	223	1406
137	223	1397
138	224	1389
139	224	1382
140	225	1374
141	225	1365
142	226	1357
143	227	1349
144	227	1342
145	228	1335
146	228	1327
147	229	1320
148	229	1313
149	230	1306
150	231	1299
151	231	1292
152	232	1286
153	232	1279
154	233	1272
155	234	1266
156	234	1259
157	235	1253
158	235	1246
159	236	1240
160	236	1233
161	237	1227
162	237	1220
163	238	1214
164	238	1208
165	239	1203
166	240	1197
167	240	1191
168	241	1186
169	241	1180
170	242	1174
171	242	1169
172	243	1164
173	244	1158
174	244	1153
175	245	1148
176	245	1142
177	246	1137
178	246	1132
179	247	1127
180	248	1122
181	248	1117
182	249	1112
183	249	1107
184	250	1103
185	251	1098
186	251	1094
187	252	1089
188	252	1084
189	253	1080
190	253	1075
191	254	1071
192	255	1066
193	255	1062
194	256	1058
195	256	1053
196	257	1049
197	258	1045
198	258	1040
199	259	1036
200	259	1032
201	260	1028
202	260	1023
203	261	1019
204	261	1015
205	262	1011
206	263	1007
207	263	1003
208	264	1000
209	264	996
210	265	992
211	266	988
212	266	985
213	267	981
214	267	977
215	268	973
216	268	970
217	269	966
218	270	963
219	270	959
220	271	956
221	271	952
222	272	948
223	272	945
224	273	942
225	274	938
226	274	935
227	275	931
228	275	928
229	276	926
230	277	923
231	277	920
232	278	916
233	279	913
234	279	910
235	280	907
